,n,theta,r,t,target
0,6,0,1.5,0.7,1.14466667
1,6,0,1.5,1.05,1.60756105
2,6,0,1.5,1.4,1.144337785
3,6,0,1.7,0.7,3.64273758
4,6,0,1.7,1.05,3.748405035
5,6,0,1.7,1.4,2.661723075
6,6,0,1.9,0.7,5.62889179
7,6,0,1.9,1.05,6.545940435
8,6,0,1.9,1.4,5.13711498
9,6,0,2.1,0.7,6.113001335
10,6,0,2.1,1.05,7.63448638
11,6,0,2.1,1.4,2.06551135
12,6,0,2.3,0.7,22.63629481
13,6,0,2.3,1.05,11.98794863
14,6,0,2.3,1.4,2.18745377
15,6,0,2.5,0.7,27.27353061
16,6,0,2.5,1.05,27.71493771
17,6,0,2.5,1.4,1.724510655
18,6,25,1.6,0.7,1.321202445
19,6,25,1.6,1.05,1.901228995
20,6,25,1.6,1.4,1.464165225
21,6,25,1.8,0.7,2.77622403
22,6,25,1.8,1.05,2.725128695
23,6,25,1.8,1.4,3.181724645
24,6,25,2.0,0.7,4.561826505
25,6,25,2.0,1.05,4.80682388
26,6,25,2.0,1.4,5.21743359
27,6,25,2.2,0.7,5.9481448
28,6,25,2.2,1.05,10.57081004
29,6,25,2.2,1.4,7.91761853
30,6,25,2.4,0.7,9.40534553
31,6,25,2.4,1.05,25.05585347
32,6,25,2.4,1.4,2.401968915
33,6,50,1.5,0.7,0.911408525
34,6,50,1.5,1.05,0.80713156
35,6,50,1.5,1.4,0.600585055
36,6,50,1.7,0.7,1.280064085
37,6,50,1.7,1.05,1.856575375
38,6,50,1.7,1.4,1.22887476
39,6,50,1.9,0.7,1.670555225
40,6,50,1.9,1.05,1.733336745
41,6,50,1.9,1.4,3.17129197
42,6,50,2.1,0.7,16.00978343
43,6,50,2.1,1.05,4.159978755
44,6,50,2.1,1.4,4.324624925
45,6,50,2.3,0.7,3.208368345
46,6,50,2.3,1.05,8.36155203
47,6,50,2.3,1.4,10.26593447
48,6,50,2.5,0.7,6.389414035
49,6,50,2.5,1.05,23.65177359
50,6,50,2.5,1.4,8.263866695
51,6,75,1.6,0.7,0.56218211
52,6,75,1.6,1.05,0.62222879
53,6,75,1.6,1.4,1.129298705
54,6,75,1.8,0.7,0.49796538
55,6,75,1.8,1.05,0.955209465
56,6,75,1.8,1.4,1.307267365
57,6,75,2.0,0.7,0.70437207
58,6,75,2.0,1.05,1.844288285
59,6,75,2.0,1.4,14.5440842
60,6,75,2.2,0.7,2.28417177
61,6,75,2.2,1.05,13.167347
62,6,75,2.2,1.4,1.245206375
63,6,75,2.4,0.7,2.414646575
64,6,75,2.4,1.05,4.68270893
65,6,75,2.4,1.4,17.76211779
66,6,100,1.5,0.7,1.761419435
67,6,100,1.5,1.05,2.038989845
68,6,100,1.5,1.4,1.74145084
69,6,100,1.7,0.7,2.42913609
70,6,100,1.7,1.05,2.639451635
71,6,100,1.7,1.4,1.83067924
72,6,100,1.9,0.7,2.248745235
73,6,100,1.9,1.05,1.874484205
74,6,100,1.9,1.4,13.84331533
75,6,100,2.1,0.7,16.77800679
76,6,100,2.1,1.05,14.0173637
77,6,100,2.1,1.4,13.71482183
78,6,100,2.3,0.7,19.72634797
79,6,100,2.3,1.05,18.3145061
80,6,100,2.3,1.4,17.49456493
81,6,100,2.5,0.7,20.8723812
82,6,100,2.5,1.05,19.19430635
83,6,100,2.5,1.4,23.2304953
84,6,125,1.6,0.7,1.4166949
85,6,125,1.6,1.05,1.25473141
86,6,125,1.6,1.4,1.077183595
87,6,125,1.8,0.7,0.92180845
88,6,125,1.8,1.05,19.82673045
89,6,125,1.8,1.4,13.35430999
90,6,125,2.0,0.7,0.93520637
91,6,125,2.0,1.05,17.48321147
92,6,125,2.0,1.4,18.91401758
93,6,125,2.2,0.7,16.74357002
94,6,125,2.2,1.05,14.11770208
95,6,125,2.2,1.4,20.73650342
96,6,125,2.4,0.7,24.20558826
97,6,125,2.4,1.05,18.50428299
98,6,125,2.4,1.4,11.64011261
99,6,150,1.5,0.7,0.9721676
100,6,150,1.5,1.05,0.73339565
101,6,150,1.5,1.4,1.241250395
102,6,150,1.7,0.7,13.11436394
103,6,150,1.7,1.05,1.247425855
104,6,150,1.7,1.4,16.19996728
105,6,150,1.9,0.7,1.27661952
106,6,150,1.9,1.05,15.55778051
107,6,150,1.9,1.4,19.00199987
108,6,150,2.1,0.7,16.41042719
109,6,150,2.1,1.05,18.51288508
110,6,150,2.1,1.4,17.18467533
111,6,150,2.3,0.7,18.49939449
112,6,150,2.3,1.05,19.91431001
113,6,150,2.3,1.4,18.03172451
114,6,150,2.5,0.7,20.95858163
115,6,150,2.5,1.05,18.51341047
116,6,150,2.5,1.4,20.43322464
117,6,175,1.6,0.7,14.9117021
118,6,175,1.6,1.05,20.1909625
119,6,175,1.6,1.4,16.86847969
120,6,175,1.8,0.7,16.25303968
121,6,175,1.8,1.05,18.12488509
122,6,175,1.8,1.4,20.35152813
123,6,175,2.0,0.7,18.03436356
124,6,175,2.0,1.05,17.5264161
125,6,175,2.0,1.4,18.38228342
126,6,175,2.2,0.7,21.11426736
127,6,175,2.2,1.05,19.70686035
128,6,175,2.2,1.4,13.48899982
129,6,175,2.4,0.7,22.93310771
130,6,175,2.4,1.05,16.38889589
131,6,175,2.4,1.4,14.4047196
132,6,200,1.5,0.7,14.96221898
133,6,200,1.5,1.05,14.65657727
134,6,200,1.5,1.4,20.22036666
135,6,200,1.7,0.7,16.78959272
136,6,200,1.7,1.05,25.21025957
137,6,200,1.7,1.4,19.40045977
138,6,200,1.9,0.7,17.83614353
139,6,200,1.9,1.05,24.39245006
140,6,200,1.9,1.4,23.56283371
141,6,200,2.1,0.7,21.86809238
142,6,200,2.1,1.05,20.21042247
143,6,200,2.1,1.4,20.31956724
144,6,200,2.3,0.7,24.84958171
145,6,200,2.3,1.05,21.80051696
146,6,200,2.3,1.4,19.66597793
147,6,200,2.5,0.7,25.99898896
148,6,200,2.5,1.05,22.06231878
149,6,200,2.5,1.4,21.03835901
150,8,0,1.5,0.7,2.166798125
151,8,0,1.5,1.05,1.994880795
152,8,0,1.5,1.4,1.991507755
153,8,0,1.7,0.7,2.413471505
154,8,0,1.7,1.05,4.139476235
155,8,0,1.7,1.4,2.899414305
156,8,0,1.9,0.7,5.52009985
157,8,0,1.9,1.05,7.354356745
158,8,0,1.9,1.4,5.33195838
159,8,0,2.1,0.7,19.99789002
160,8,0,2.1,1.05,8.488290225
161,8,0,2.1,1.4,1.915515405
162,8,0,2.3,0.7,25.3582639
163,8,0,2.3,1.05,2.185516945
164,8,0,2.3,1.4,1.437887965
165,8,0,2.5,0.7,31.09783404
166,8,0,2.5,1.05,1.890725635
167,8,0,2.5,1.4,1.379164485
168,8,25,1.6,0.7,6.022568495
169,8,25,1.6,1.05,5.899901415
170,8,25,1.6,1.4,5.25760901
171,8,25,1.8,0.7,5.487119255
172,8,25,1.8,1.05,9.138851555
173,8,25,1.8,1.4,12.00985826
174,8,25,2.0,0.7,9.76006525
175,8,25,2.0,1.05,10.70192285
176,8,25,2.0,1.4,14.18665702
177,8,25,2.2,0.7,13.1504635
178,8,25,2.2,1.05,16.83781416
179,8,25,2.2,1.4,19.7309444
180,8,25,2.4,0.7,22.05845141
181,8,25,2.4,1.05,27.7911449
182,8,25,2.4,1.4,1.651555005
183,8,50,1.5,0.7,0.606925755
184,8,50,1.5,1.05,0.967633045
185,8,50,1.5,1.4,1.01771189
186,8,50,1.7,0.7,1.83865145
187,8,50,1.7,1.05,1.946333395
188,8,50,1.7,1.4,1.256027065
189,8,50,1.9,0.7,2.446088645
190,8,50,1.9,1.05,1.75677089
191,8,50,1.9,1.4,2.89525274
192,8,50,2.1,0.7,4.16988717
193,8,50,2.1,1.05,3.47753655
194,8,50,2.1,1.4,4.749716225
195,8,50,2.3,0.7,6.054145875
196,8,50,2.3,1.05,5.279049785
197,8,50,2.3,1.4,9.993393195
198,8,50,2.5,0.7,7.144120635
199,8,50,2.5,1.05,23.23553062
200,8,50,2.5,1.4,1.789061775
201,8,75,1.6,0.7,2.301961535
202,8,75,1.6,1.05,2.517171365
203,8,75,1.6,1.4,1.897846855
204,8,75,1.8,0.7,3.146094015
205,8,75,1.8,1.05,12.57974175
206,8,75,1.8,1.4,4.87327289
207,8,75,2.0,0.7,5.749459945
208,8,75,2.0,1.05,3.877424105
209,8,75,2.0,1.4,12.78541704
210,8,75,2.2,0.7,20.21204998
211,8,75,2.2,1.05,20.51460132
212,8,75,2.2,1.4,17.76513275
213,8,75,2.4,0.7,24.44423375
214,8,75,2.4,1.05,26.61614424
215,8,75,2.4,1.4,32.61966052
216,8,100,1.5,0.7,0.758866325
217,8,100,1.5,1.05,1.47033628
218,8,100,1.5,1.4,1.371727985
219,8,100,1.7,0.7,1.66019497
220,8,100,1.7,1.05,1.94218581
221,8,100,1.7,1.4,2.526298485
222,8,100,1.9,0.7,18.46355991
223,8,100,1.9,1.05,19.95083256
224,8,100,1.9,1.4,15.28451124
225,8,100,2.1,0.7,24.44324883
226,8,100,2.1,1.05,26.5761516
227,8,100,2.1,1.4,15.81249026
228,8,100,2.3,0.7,26.55366339
229,8,100,2.3,1.05,31.76165247
230,8,100,2.3,1.4,24.51326645
231,8,100,2.5,0.7,33.05713503
232,8,100,2.5,1.05,39.22260624
233,8,100,2.5,1.4,33.98515161
234,8,125,1.6,0.7,1.46008469
235,8,125,1.6,1.05,16.95513861
236,8,125,1.6,1.4,16.54564365
237,8,125,1.8,0.7,16.49016369
238,8,125,1.8,1.05,17.97152167
239,8,125,1.8,1.4,17.14974079
240,8,125,2.0,0.7,20.02394696
241,8,125,2.0,1.05,21.33621444
242,8,125,2.0,1.4,16.41212001
243,8,125,2.2,0.7,21.7261251
244,8,125,2.2,1.05,24.28895599
245,8,125,2.2,1.4,19.99643012
246,8,125,2.4,0.7,26.74357163
247,8,125,2.4,1.05,23.40047254
248,8,125,2.4,1.4,22.66353705
249,8,150,1.5,0.7,15.76503932
250,8,150,1.5,1.05,14.71129282
251,8,150,1.5,1.4,16.81053048
252,8,150,1.7,0.7,18.38869488
253,8,150,1.7,1.05,16.23362792
254,8,150,1.7,1.4,25.59678803
255,8,150,1.9,0.7,25.06795204
256,8,150,1.9,1.05,26.46985809
257,8,150,1.9,1.4,21.43531816
258,8,150,2.1,0.7,23.84790793
259,8,150,2.1,1.05,25.75089201
260,8,150,2.1,1.4,29.20332858
261,8,150,2.3,0.7,30.2897043
262,8,150,2.3,1.05,27.00954622
263,8,150,2.3,1.4,26.35897031
264,8,150,2.5,0.7,33.28026619
265,8,150,2.5,1.05,27.0706717
266,8,150,2.5,1.4,22.86899577
267,8,175,1.6,0.7,14.02868913
268,8,175,1.6,1.05,20.02470101
269,8,175,1.6,1.4,18.21306351
270,8,175,1.8,0.7,17.80463232
271,8,175,1.8,1.05,22.26115859
272,8,175,1.8,1.4,17.92242904
273,8,175,2.0,0.7,20.52712839
274,8,175,2.0,1.05,26.43476973
275,8,175,2.0,1.4,30.62884765
276,8,175,2.2,0.7,23.87569613
277,8,175,2.2,1.05,27.13847058
278,8,175,2.2,1.4,21.95018747
279,8,175,2.4,0.7,24.93067951
280,8,175,2.4,1.05,26.48945395
281,8,175,2.4,1.4,19.63858649
282,8,200,1.5,0.7,18.25283987
283,8,200,1.5,1.05,13.14853798
284,8,200,1.5,1.4,16.80890649
285,8,200,1.7,0.7,21.76204542
286,8,200,1.7,1.05,19.95473314
287,8,200,1.7,1.4,28.41190008
288,8,200,1.9,0.7,23.99916942
289,8,200,1.9,1.05,22.51447703
290,8,200,1.9,1.4,22.81980479
291,8,200,2.1,0.7,26.42427769
292,8,200,2.1,1.05,23.00800265
293,8,200,2.1,1.4,20.86879417
294,8,200,2.3,0.7,29.49732455
295,8,200,2.3,1.05,23.05055265
296,8,200,2.3,1.4,19.78231941
297,8,200,2.5,0.7,31.08251055
298,8,200,2.5,1.05,21.36694488
299,8,200,2.5,1.4,2.45140065
300,10,0,1.5,0.7,2.37024162
301,10,0,1.5,1.05,2.465344685
302,10,0,1.5,1.4,1.902319725
303,10,0,1.7,0.7,15.43857988
304,10,0,1.7,1.05,5.526309155
305,10,0,1.7,1.4,1.8278817
306,10,0,1.9,0.7,20.12095256
307,10,0,1.9,1.05,1.909063605
308,10,0,1.9,1.4,1.835869325
309,10,0,2.1,0.7,10.91442134
310,10,0,2.1,1.05,1.472520425
311,10,0,2.1,1.4,1.497575625
312,10,0,2.3,0.7,37.2159395
313,10,0,2.3,1.05,1.447227795
314,10,0,2.3,1.4,1.27589006
315,10,0,2.5,0.7,1.8790985
316,10,0,2.5,1.05,1.43131911
317,10,0,2.5,1.4,1.320330185
318,10,25,1.6,0.7,3.697126945
319,10,25,1.6,1.05,6.04913388
320,10,25,1.6,1.4,4.04881531
321,10,25,1.8,0.7,6.947829155
322,10,25,1.8,1.05,7.81723548
323,10,25,1.8,1.4,8.20748261
324,10,25,2.0,0.7,11.28420063
325,10,25,2.0,1.05,13.41803126
326,10,25,2.0,1.4,1.814660625
327,10,25,2.2,0.7,28.61980338
328,10,25,2.2,1.05,16.47586264
329,10,25,2.2,1.4,1.701154805
330,10,25,2.4,0.7,40.1337563
331,10,25,2.4,1.05,39.37679974
332,10,25,2.4,1.4,1.47408317
333,10,50,1.5,0.7,1.260503925
334,10,50,1.5,1.05,2.05605895
335,10,50,1.5,1.4,1.974935335
336,10,50,1.7,0.7,2.454350585
337,10,50,1.7,1.05,3.56727412
338,10,50,1.7,1.4,2.616819025
339,10,50,1.9,0.7,4.691029555
340,10,50,1.9,1.05,4.199239655
341,10,50,1.9,1.4,6.88366734
342,10,50,2.1,0.7,18.14836186
343,10,50,2.1,1.05,6.48318302
344,10,50,2.1,1.4,1.938137185
345,10,50,2.3,0.7,21.43247518
346,10,50,2.3,1.05,28.25571177
347,10,50,2.3,1.4,1.68978614
348,10,50,2.5,0.7,35.44502725
349,10,50,2.5,1.05,1.77016859
350,10,50,2.5,1.4,1.362320765
351,10,75,1.6,0.7,4.15126126
352,10,75,1.6,1.05,3.87517276
353,10,75,1.6,1.4,14.52642432
354,10,75,1.8,0.7,14.98008309
355,10,75,1.8,1.05,14.8352227
356,10,75,1.8,1.4,16.80488933
357,10,75,2.0,0.7,21.10158681
358,10,75,2.0,1.05,21.2147152
359,10,75,2.0,1.4,23.21411872
360,10,75,2.2,0.7,22.43277946
361,10,75,2.2,1.05,29.38565798
362,10,75,2.2,1.4,30.7444312
363,10,75,2.4,0.7,26.05758587
364,10,75,2.4,1.05,36.75305072
365,10,75,2.4,1.4,2.00176375
366,10,100,1.5,0.7,17.06507599
367,10,100,1.5,1.05,18.94962245
368,10,100,1.5,1.4,2.53324977
369,10,100,1.7,0.7,17.69646839
370,10,100,1.7,1.05,21.07823388
371,10,100,1.7,1.4,17.29897621
372,10,100,1.9,0.7,21.8432857
373,10,100,1.9,1.05,26.46207417
374,10,100,1.9,1.4,22.38864355
375,10,100,2.1,0.7,29.71010653
376,10,100,2.1,1.05,36.53765208
377,10,100,2.1,1.4,26.70796294
378,10,100,2.3,0.7,29.27685436
379,10,100,2.3,1.05,31.96874948
380,10,100,2.3,1.4,35.05213832
381,10,100,2.5,0.7,30.76561245
382,10,100,2.5,1.05,25.82152161
383,10,100,2.5,1.4,1.886956525
384,10,125,1.6,0.7,11.89656028
385,10,125,1.6,1.05,14.16437352
386,10,125,1.6,1.4,12.73031194
387,10,125,1.8,0.7,18.74037221
388,10,125,1.8,1.05,20.30153969
389,10,125,1.8,1.4,17.24241632
390,10,125,2.0,0.7,27.547945
391,10,125,2.0,1.05,30.90801587
392,10,125,2.0,1.4,32.79220122
393,10,125,2.2,0.7,28.65176546
394,10,125,2.2,1.05,30.12516931
395,10,125,2.2,1.4,40.38833175
396,10,125,2.4,0.7,33.29229334
397,10,125,2.4,1.05,28.87825012
398,10,125,2.4,1.4,26.01214699
399,10,150,1.5,0.7,5.07192638
400,10,150,1.5,1.05,13.95909786
401,10,150,1.5,1.4,13.76132647
402,10,150,1.7,0.7,23.06744641
403,10,150,1.7,1.05,28.86552639
404,10,150,1.7,1.4,17.14295674
405,10,150,1.9,0.7,29.77538936
406,10,150,1.9,1.05,30.79088801
407,10,150,1.9,1.4,37.60315188
408,10,150,2.1,0.7,29.89276263
409,10,150,2.1,1.05,28.74855898
410,10,150,2.1,1.4,25.49029507
411,10,150,2.3,0.7,33.5952381
412,10,150,2.3,1.05,21.73779973
413,10,150,2.3,1.4,18.34570169
414,10,150,2.5,0.7,31.77714475
415,10,150,2.5,1.05,2.180528875
416,10,150,2.5,1.4,19.60171103
417,10,175,1.6,0.7,22.24623455
418,10,175,1.6,1.05,25.81931546
419,10,175,1.6,1.4,23.0666609
420,10,175,1.8,0.7,24.879369
421,10,175,1.8,1.05,28.75976827
422,10,175,1.8,1.4,39.76854173
423,10,175,2.0,0.7,24.75957759
424,10,175,2.0,1.05,23.18499775
425,10,175,2.0,1.4,20.94242387
426,10,175,2.2,0.7,26.75827735
427,10,175,2.2,1.05,21.54047674
428,10,175,2.2,1.4,14.86050651
429,10,175,2.4,0.7,28.79159634
430,10,175,2.4,1.05,16.63769652
431,10,175,2.4,1.4,1.94975736
432,10,200,1.5,0.7,26.57207203
433,10,200,1.5,1.05,30.13790411
434,10,200,1.5,1.4,32.46480467
435,10,200,1.7,0.7,25.74684893
436,10,200,1.7,1.05,23.47800227
437,10,200,1.7,1.4,48.06433862
438,10,200,1.9,0.7,26.99685194
439,10,200,1.9,1.05,21.68353378
440,10,200,1.9,1.4,20.33871995
441,10,200,2.1,0.7,30.02929235
442,10,200,2.1,1.05,20.59749653
443,10,200,2.1,1.4,17.54910594
444,10,200,2.3,0.7,33.18631766
445,10,200,2.3,1.05,19.73466771
446,10,200,2.3,1.4,1.543837075
447,10,200,2.5,0.7,32.53028312
448,10,200,2.5,1.05,14.83241934
449,10,200,2.5,1.4,2.119129425
450,12,0,1.5,0.7,2.710077215
451,12,0,1.5,1.05,3.382610125
452,12,0,1.5,1.4,1.879645105
453,12,0,1.7,0.7,4.848634005
454,12,0,1.7,1.05,2.042897735
455,12,0,1.7,1.4,1.614795695
456,12,0,1.9,0.7,5.787094095
457,12,0,1.9,1.05,1.45487696
458,12,0,1.9,1.4,1.37488409
459,12,0,2.1,0.7,2.53720665
460,12,0,2.1,1.05,1.54752002
461,12,0,2.1,1.4,1.268136685
462,12,0,2.3,0.7,1.596147205
463,12,0,2.3,1.05,1.311584905
464,12,0,2.3,1.4,1.538662875
465,12,0,2.5,0.7,1.600953855
466,12,0,2.5,1.05,1.140192515
467,12,0,2.5,1.4,1.094330115
468,12,25,1.6,0.7,3.283366465
469,12,25,1.6,1.05,3.947534815
470,12,25,1.6,1.4,4.05098771
471,12,25,1.8,0.7,21.23499458
472,12,25,1.8,1.05,6.942361015
473,12,25,1.8,1.4,1.79896845
474,12,25,2.0,0.7,29.74137126
475,12,25,2.0,1.05,19.94002746
476,12,25,2.0,1.4,1.476944155
477,12,25,2.2,0.7,46.13158384
478,12,25,2.2,1.05,1.484047405
479,12,25,2.2,1.4,1.277472645
480,12,25,2.4,0.7,50.29350783
481,12,25,2.4,1.05,1.366536405
482,12,25,2.4,1.4,1.221183055
483,12,50,1.5,0.7,3.0627593
484,12,50,1.5,1.05,2.44075017
485,12,50,1.5,1.4,3.972113785
486,12,50,1.7,0.7,3.64365483
487,12,50,1.7,1.05,13.44766539
488,12,50,1.7,1.4,4.728461135
489,12,50,1.9,0.7,20.98779674
490,12,50,1.9,1.05,22.76612895
491,12,50,1.9,1.4,6.8981237
492,12,50,2.1,0.7,30.82322728
493,12,50,2.1,1.05,27.90628977
494,12,50,2.1,1.4,1.4467511
495,12,50,2.3,0.7,33.47814198
496,12,50,2.3,1.05,2.69682508
497,12,50,2.3,1.4,1.35477584
498,12,50,2.5,0.7,35.85667806
499,12,50,2.5,1.05,1.36576364
500,12,50,2.5,1.4,1.24842055
501,12,75,1.6,0.7,16.22990609
502,12,75,1.6,1.05,17.18445948
503,12,75,1.6,1.4,12.94250759
504,12,75,1.8,0.7,18.88295428
505,12,75,1.8,1.05,22.02190688
506,12,75,1.8,1.4,16.51580642
507,12,75,2.0,0.7,21.58189617
508,12,75,2.0,1.05,32.22906249
509,12,75,2.0,1.4,2.467981245
510,12,75,2.2,0.7,35.79146501
511,12,75,2.2,1.05,40.86827958
512,12,75,2.2,1.4,1.49421229
513,12,75,2.4,0.7,43.14528141
514,12,75,2.4,1.05,46.92091161
515,12,75,2.4,1.4,1.48225321
516,12,100,1.5,0.7,14.69444426
517,12,100,1.5,1.05,11.49054846
518,12,100,1.5,1.4,10.61172675
519,12,100,1.7,0.7,18.05369099
520,12,100,1.7,1.05,19.5094086
521,12,100,1.7,1.4,16.65803788
522,12,100,1.9,0.7,30.06304252
523,12,100,1.9,1.05,32.71835599
524,12,100,1.9,1.4,20.96172303
525,12,100,2.1,0.7,40.47378346
526,12,100,2.1,1.05,42.67655245
527,12,100,2.1,1.4,2.02024529
528,12,100,2.3,0.7,40.29737022
529,12,100,2.3,1.05,34.28081129
530,12,100,2.3,1.4,2.70949508
531,12,100,2.5,0.7,40.6362777
532,12,100,2.5,1.05,1.86482408
533,12,100,2.5,1.4,1.36719433
534,12,125,1.6,0.7,15.60811198
535,12,125,1.6,1.05,20.18824631
536,12,125,1.6,1.4,16.34644991
537,12,125,1.8,0.7,31.44584563
538,12,125,1.8,1.05,32.27993772
539,12,125,1.8,1.4,28.35393028
540,12,125,2.0,0.7,32.82589566
541,12,125,2.0,1.05,36.33068406
542,12,125,2.0,1.4,41.07478159
543,12,125,2.2,0.7,34.05089677
544,12,125,2.2,1.05,25.4602824
545,12,125,2.2,1.4,1.754954565
546,12,125,2.4,0.7,35.46253183
547,12,125,2.4,1.05,24.91308985
548,12,125,2.4,1.4,1.78455199
549,12,150,1.5,0.7,20.09582272
550,12,150,1.5,1.05,24.73057766
551,12,150,1.5,1.4,21.53784942
552,12,150,1.7,0.7,29.63537291
553,12,150,1.7,1.05,35.66341558
554,12,150,1.7,1.4,34.86198284
555,12,150,1.9,0.7,30.62289498
556,12,150,1.9,1.05,29.48954875
557,12,150,1.9,1.4,49.25078791
558,12,150,2.1,0.7,30.30987612
559,12,150,2.1,1.05,22.4073812
560,12,150,2.1,1.4,1.83697897
561,12,150,2.3,0.7,32.24994845
562,12,150,2.3,1.05,1.85980549
563,12,150,2.3,1.4,2.899684285
564,12,150,2.5,0.7,32.54542221
565,12,150,2.5,1.05,1.556686305
566,12,150,2.5,1.4,1.67768615
567,12,175,1.6,0.7,29.88577368
568,12,175,1.6,1.05,34.00182953
569,12,175,1.6,1.4,43.47975901
570,12,175,1.8,0.7,28.4906872
571,12,175,1.8,1.05,23.88152443
572,12,175,1.8,1.4,17.40448202
573,12,175,2.0,0.7,29.69113837
574,12,175,2.0,1.05,20.3410298
575,12,175,2.0,1.4,1.767964575
576,12,175,2.2,0.7,32.58077756
577,12,175,2.2,1.05,1.811359785
578,12,175,2.2,1.4,1.856395865
579,12,175,2.4,0.7,34.33571139
580,12,175,2.4,1.05,2.732696605
581,12,175,2.4,1.4,1.257684545
582,12,200,1.5,0.7,41.03767786
583,12,200,1.5,1.05,36.26267399
584,12,200,1.5,1.4,41.56020183
585,12,200,1.7,0.7,29.52654878
586,12,200,1.7,1.05,22.87250266
587,12,200,1.7,1.4,22.98706561
588,12,200,1.9,0.7,29.24994097
589,12,200,1.9,1.05,15.20724601
590,12,200,1.9,1.4,1.7438969
591,12,200,2.1,0.7,32.12768047
592,12,200,2.1,1.05,1.857889805
593,12,200,2.1,1.4,1.8860728
594,12,200,2.3,0.7,41.87429944
595,12,200,2.3,1.05,1.331659865
596,12,200,2.3,1.4,1.578600555
597,12,200,2.5,0.7,2.029597225
598,12,200,2.5,1.05,1.240041765
599,12,200,2.5,1.4,1.05594173
600,6,0,1.5,0.7,1.276972545
601,6,0,1.5,1.05,1.40763682
602,6,0,1.5,1.4,1.22198518
603,6,0,1.7,0.7,2.57058053
604,6,0,1.7,1.05,2.907952235
605,6,0,1.7,1.4,2.61173793
606,6,0,1.9,0.7,3.623287735
607,6,0,1.9,1.05,4.861726245
608,6,0,1.9,1.4,4.685755775
609,6,0,2.1,0.7,17.24322518
610,6,0,2.1,1.05,9.14252845
